id;relid;year;active_year;code_status;type_of_violence;conflict_dset_id;conflict_new_id;conflict_name;dyad_dset_id;dyad_new_id;dyad_name;side_a_dset_id;side_a_new_id;side_a;side_b_dset_id;side_b_new_id;side_b;number_of_sources;source_article;source_office;source_date;source_headline;source_original;where_prec;where_coordinates;where_description;adm_1;adm_2;latitude;longitude;geom_wkt;priogrid_gid;country;country_id;region;event_clarity;date_prec;date_start;date_end;deaths_a;deaths_b;deaths_civilians;deaths_unknown;best_est;high_est;low_est
24980;NIR-1990-3-436-2;1990;True;Clear;3;75;456;Government of Niger - Civilians;75,0;923;Government of Niger - Civilians;75;75;Government of Niger;9999;1;Civilians;-1;"Reuters 14/6-90, http://www.unhcr.org/refworld/topic,463af2212,469f2e792,469f38c2104,0.html, Amnesty:""NIGER Impunity enshrined in the constitution"",  8 September 1999 AI Index: AFR 43/02/99, http://www.conflict-prevention.net/page.php?id=40&formid=73&action=show&surveyid=37";;;;a cabinet minister, witnesses as quoted by the French daily Le Monde;1;Tchin-Tabaraden town;Tchin-Tabaraden town;Tahoua region;Tchin Tarabadene department;15.896900;5.798500;POINT (5.7985 15.8969);152292;Niger;436;Africa;1;2;05/06/1990 00:00;05/07/1990 00:00;0;0;200;0;200;600;63
24982;NIR-1991-3-436-1;1991;False;Clear;3;75;456;Government of Niger - Civilians;75,0;923;Government of Niger - Civilians;75;75;Government of Niger;9999;1;Civilians;-1;Reuters 1991-12-19;;;;official sources;2;Iferouane town;Iferouane town (near);Agadez region;Arlit department;19.062500;8.420000;POINT (8.42 19.0625);157337;Niger;436;Africa;1;2;12/14/1991 00:00:00;12/15/1991 00:00:00;0;0;0;0;0;3;0
24983;NIR-1992-1-761-7;1992;True;Clear;1;430;430;Niger: Government;895,0;895;Government of Niger - FLAA;75;75;Government of Niger;524;524;FLAA;-1;Reuters 18/3-92, ARB March 1992, 10512;;;;;1;Iferouane town;Iferouane town;Agadez region;Arlit department;19.062500;8.420000;POINT (8.42 19.0625);157337;Niger;436;Africa;1;1;03/15/1992 00:00:00;03/15/1992 00:00:00;0;2;0;0;2;2;2
24993;NIR-1992-1-761-13;1992;True;Clear;1;430;430;Niger: Government;895,0;895;Government of Niger - FLAA;75;75;Government of Niger;524;524;FLAA;-1;Reuters 22/7-92;;;;;1;Kao town;Kao town;Tahoua region;Tchin Tarabadene department;15.409800;5.734300;POINT (5.7343 15.4098);151572;Niger;436;Africa;1;1;07/22/1992 00:00:00;07/22/1992 00:00:00;1;0;0;0;1;1;1
25005;NIR-1992-1-761-19;1992;True;Clear;1;430;430;Niger: Government;895,0;895;Government of Niger - FLAA;75;75;Government of Niger;524;524;FLAA;-1;Reuters 2/10-92;;;;;1;Tabelot town;Tabelot town;Agadez region;Agadez department;17.572500;8.943900;POINT (8.9439 17.5725);155178;Niger;436;Africa;1;1;09/24/1992 00:00:00;09/24/1992 00:00:00;0;2;0;0;2;2;2
204912;NIR-2015-1-14668-5;2015;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;2;"""Reuters News,2015-06-24,Boko Haram militants kill five in southern Niger: sources""";;;;;;;;;;;;;;;;;;;;;;;;;;;
275740;MLI-2018-2-15205-0;2018;True;Clear;2;15205;14076;Daoussak (Tuareg) - Fulani;15205,0;15205;Daoussak (Tuareg) - Fulani;6503;6503;Daoussak (Tuareg);607;607;Fulani;1;"""Sahel Memo. Niger: December 2018 Chronology of Violent Incidents Related to Al-Qaeda affiliates Jama’at Nusrat al-Islam wal Muslimeen (JNIM), Boko Haram, Islamic State in West Africa Province (ISWAP), and Islamic State in the Greater Sahara (ISGS),2019-01-16,DEC 2018 Chronology of Violent Incidents by JNIM, ISGS, and Armed Bandits """;Sahel Memo. Niger: December 2018 Chronology of Violent Incidents Related to Al-Qaeda affiliates Jama’at Nusrat al-Islam wal Muslimeen (JNIM), Boko Haram, Islamic State in West Africa Province (ISWAP), and Islamic State in the Greater Sahara (ISGS);16/01/2019;DEC 2018 Chronology of Violent Incidents by JNIM, ISGS, and Armed Bandits;;1;Tankadémi village;Tankademi village, Tahoua Region;Tahoua region;Tchin Tabaradene department;15.711342;3.915567;POINT (3.915567 15.711342);152288;Niger;436;Africa;1;1;12/24/2018 00:00:00;12/24/2018 00:00:00;0;0;0;9;9;9;9
286859;NIR-2019-1-14668-12;2019;True;Clear;01/01/1900;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;3;"""Agence France Presse,2019-05-17,IS claims deadly Niger attack: propaganda arm""";;;;;;;;;;;;;;;;;;;;;;;;;;;
501366;NIR-2023-1-14668-54;2023;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;09/01/1900;"""Wassim Nasr ,2023-11-24,#Niger """;;;;;;;;;;;;;;;;;;;;;;;;;;;
204924;NIR-2015-1-14668-6;2015;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Reuters News,2015-07-12,Boko Haram attacks prison in Niger, four killed: military""";Reuters News;12/07/2015;Boko Haram attacks prison in Niger, four killed: military;military sources;1;Diffa town;Diffa town;Diffa region;Diffa department;13.315360;12.611350;POINT (12.61135 13.31536);148706;Niger;436;Africa;1;1;07/11/2015 00:00;07/11/2015 00:00;1;3;0;0;4;4;4
390311;AFG-2021-3-973-119.1;2021;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;10;"""BBC Monitoring Africa,2021-03-16,Suspected militants kill 30 in Niger's southwest region""";;;;;;;;;;;;;;;;;;;;;;;;;;;
